tanggal_baca,clean_author,clean_text,like_count,id,word_count
2026-01-31 07:00:00,@iqbalfikri2689,"Presiden yang pandainya hanya omon - omon kosong ...
Tubuhnyapun sudah menunjukkan: ""Otong kosong nyaring bunyinya ...""",0,UgwN7K5q8pXtvXjshzp4AaABAg,17
2026-01-31 07:00:00,@mulyasaadi6106,Nyawit sekali memang. 😒,0,UgwQDod_O5YIArkeT694AaABAg,4
2026-01-31 07:00:00,@ariadwipangga-h7q,"Salam Bahagia 😊 
Enakan berteman dengan VOC daripada antek asing 🤫🤭😲😳😁🙏",1,UgxmMq7Gw5yllzT44fd4AaABAg,11
2026-01-31 07:00:00,@widamandhaganugraha6140,NPD,0,Ugy6ME0uOZIEKcoy8qd4AaABAg,1
2026-01-31 07:00:00,@katakrentong,Setahuku yea inilah yang pro AN AS.,0,UgzEyGYFJB0QzU1P2e54AaABAg,7
2026-01-31 07:00:00,@mujomuhammadjabyatim,Prosedur masuk nya Imigran Yaman ke Indonesia juga perlu diperiksa surat2 nya.,0,UgyCnjd7HftOGQ3ycjp4AaABAg,12
2026-01-30 07:00:00,@FARRENWAR,"antek asing antek aseeng, lu kali wo yang antek asing wkookwowkoko, suka2 lu dah",0,Ugya51n9aD0Fs1P_54p4AaABAg,14
2026-01-30 07:00:00,@YanfarakhanPoppo,"Semoga saja jika makin banyak warga negara asing yg suka atau menjadikan Indonesia sebagai pilhan negara yg favorit untuk didatangi, kita memang bisa merasa bangga, tapi juga tidak terlena dgn fenomena tsb ( yg bisa lupa / tidak waspada dgn situasi) karna baru saja ada berita tentang tertangkap nya imigran seorang pria Rumania di Bali karna dia telah jadi buronan di seantero Eropah terkait kasus perampasan sadis dan pembunuhan berencana bersama dgn teman nya dua orang yg sdh lebih dulu tertangkap di Irlandia dan Skotlandia, Akupun salut dgn kesigapan aparat intelijen kita, Terbayang kalau pelaku kriminal tsb bisa lama luntang lantung di NKRI karna bisa saja dia nekat melibatkan penduduk kita kembali berbuat kejahatan...",0,UgzT5LS4foH1ly3Kd_p4AaABAg,114
2026-01-30 07:00:00,@IvoM-f6b,"Teriak2 sikat antek asing, pada saat yang sama menjilat asing. Kenapa harus bermuka dua...",0,Ugxx0e7vao5GEn9Wo8l4AaABAg,14
2026-01-30 07:00:00,@randisuwardin6478,"gimana ya cara ngasih tahu teman"" bahwa pilihan politik itu mempengaruhi hidup, sempet kesel denger siapapun pemerintahnya hidup gini"" aja",0,UgxxV4DQAZ0jdZXcPaN4AaABAg,20
2026-01-30 07:00:00,@agusbintoro8684,Jadi narasi at propaganda asing dilakukan secara sadar at tidak sadar dapat merusak suatu negara dari dalam. Propaganda at narasi bisa dilakukan jelas jelas dilakukan oleh sumber negara tapi bisa jadi tidak dilakukan negara tapi kelompok yang punya  kepentingan  negara at mungkin pendapat Ahli dari suatu negara yang tak mewakili negara namun pendapat membangun narasi yang jelek bagi negara lain.Apakah ini dibendung dg hukuman at perlawanan dg data saja.,0,Ugww5obIf3maOytGaht4AaABAg,69
2026-01-30 07:00:00,@muhabyqosim5164,"FB sudah melakukan itu dg adanya notice ""bahwa komentar anda tidak terlihat di negara tertentu""",0,UgxFXShRTb0A9Kevsuh4AaABAg,15
2026-01-30 07:00:00,@muhabyqosim5164,Warning HRS klo Indonesia jadi tibet jilid 2 sudah terbukti di morowali  dan maluku,0,UgxKVuy--OVzYLqcdyR4AaABAg,14
2026-01-30 07:00:00,@BregasAdji,"Pelaku kejahatan HAM dipercaya jadi presiden bro😂😂😂. Tuh danantara Dalio bukankah orang asing. Thaksin itu akhirnya dipenjara gitu jadi dewan nasihat 😂😂. Maunya Prabowo itu kita itu harus Manut kayak Boby kucingnya. Lapar tinggal ngeong lalu diberi 😂😂. Ingin dimanja ngeong. Jadi ingin diberi jabatan Prabowo ya harus mau jadi buzzer mereka 😂😂. Yang saya heran Ronal Tanur pembunuh dengan cara melindas pakai mobil malah dapat remisi, padahal sudah terbukti bersalah Hakimnya. Malah tersangka dapat remisi. Logika macam apa itu😂😂. Jadi pembebasan Ronal Tanur ternyata sudah diatur oleh Ibu Ronal Tanur dan pengacaranya dan terbukti Korupsi 😂. Eh Presiden memberikan REMISI karena berlaku sopan ketika berbicara dengan Presiden 😂😂. Edan 😂😂",0,UgwT6pDDc4Ei10lzdOt4AaABAg,111
2026-01-30 07:00:00,@ayusulistiyani1768,"Ajak ke psikiater aja, biar bisa diatasi dengan baik.",0,UgzgOGr61bGIQYJz4xh4AaABAg,9
2026-01-30 07:00:00,@ThonilWirawan,"Bahas benix dong,",0,Ugzdrql8xP46l_pLY_N4AaABAg,3
2026-01-30 07:00:00,@ronibetas3439,rambutnya baru model antek antek aseenggg,0,UgyaXeNdlDNFxIrnBfF4AaABAg,6
2026-01-29 07:00:00,@muhammadirfanhidayatullahp86,"Tempo dapat dana berapa tiap tahun dari George Soros ? Spill dong

Kok bisa sampe mau buat propaganda, ngehancurin negara sendiri, berapa sih bayarannya, penasaran asli",0,Ugz5UH00RXaNg0TU_jB4AaABAg,26
2026-01-29 07:00:00,@muhammadirfanhidayatullahp86,"Menurut keyakinan saya, kalian ini Media provokator..
Agen intelijen berkedok kebebasan pers, pemerintah sedang berusaha membangun negara, selalu aja media ini cari cari bahan utk provokasi masyarakat.. ga akan pernah percaya lagi sama media2 seperti tempo ini..

Media2 seperti inilah yg membuat propaganda yg mengakibatkan kerusuhan di berbagai negara, membuat negara tidak stabil..",0,Ugzye1vOPmdGRTnDEbB4AaABAg,53
2026-01-29 07:00:00,@jitopasaman1490,Owalah TEMPE BACEM.,1,Ugw6_2VEp-WSP3M-9MJ4AaABAg,3
2026-01-29 07:00:00,@jitopasaman1490,Kalau ada Media antek asing juga harus di sikat dari bumi pertiwi. 😂😂😂. Karna diam2 ada beberapa media peliharaan nya soros,0,UgyW2ls9T0xQbKA8RL54AaABAg,21
2026-01-29 07:00:00,@AltioraQuaeriteCH,"Dia pake cara Trump, cara fasis berkuasa. Dia sendiri penjilat AS.",0,UgyUf-vbn0rDNshuFy14AaABAg,11
2026-01-29 07:00:00,@aminreaves,Antek dajjal teriak antek asing,0,UgzYEYGM2UbuizO0lJ94AaABAg,5
2026-01-29 07:00:00,@minganmingan6084,prabowo hanya omon 2 faktanya nol besar tida terbukti,0,UgyQScAnMfW83ZAHssR4AaABAg,9
2026-01-29 07:00:00,@kertaskarbon-14,antek asing itu yg setor uang trilyunan ke dewan2an perdamaian Trump bukan🤣,0,Ugz3vqV_Zb1LhWRiE_t4AaABAg,12
2026-01-29 07:00:00,@arthurhutauruk5355,Antek asing itu ada tergantung perspektif anda menilai yang mana .sekarang maling berteriak maling,0,UgyyoW3T41XQtpTVdwh4AaABAg,14
2026-01-29 07:00:00,@666-pluto,"Sebut wo, antek asing itu siapa? Negara mana aja? Ahahaha... jadi pemimpin kok anti kritik. Besok pilih gen z aja udah. Boomers suruh pensiun 😂",0,UgxKyI69SC7bDj5SkBV4AaABAg,25
2026-01-29 07:00:00,@Anto1983-vb8oh,sedang mencoba membungkam,0,UgzaEyoSBWMt1RZKjkJ4AaABAg,3
2026-01-29 07:00:00,@agusriyanto891,Mbah wowo sendiri yg antek asing...buktinya malah tunduk kepada kakek trump,0,Ugy7ATtAHX58BIooGvV4AaABAg,11
2026-01-29 07:00:00,@heruwidyana8380,Jangan sampai kejadian di Minneapolis terjadi di Indonesia tercinta ....,0,UgxjZkcYljUNnwRlB-p4AaABAg,10
2026-01-29 07:00:00,@nendipermana5000,"Dia yang paling teriak anti antek asing, tapi sekarang dia yang jadi antek nya donald bebek dan setannyaho. bahkan rela bayar mahal buat gabung kelompok mereka, hampir 17 T.
Namanya juga presiden omon-omon, semuanya tersedarh dia, mumpung berkuasa, dan bahkan persiapan melanggengkan kekuasaanya.",0,UgwUwaeeUmV-vRrkUGZ4AaABAg,43
2026-01-29 07:00:00,@irwansyamsuddin8988,"kalau ada antek antek asing siapa,tangkap,pataaaaahkan ,umumkan..., omon omon trusss....kerjA lebih baik dari pada orasi orasi yg membosankan buru itu pencapaian 8% pertumbuhan ekonomi indonesia!!!!",0,UgxEUH-bvSu2EHNgbaJ4AaABAg,25
2026-01-29 07:00:00,@peacemaker2510,Sebarkan berita yg positif untuk energi positif Indonesia,0,Ugxzimxpcvjc0tcPONh4AaABAg,8
2026-01-29 07:00:00,@yogapratomo9787,justru orang-orang di sekeliling Prabowo- yg bisa menghancurkan ekonomi rakyat 😁😁😅,0,Ugx9f9FVQrKTEOAH_794AaABAg,11
2026-01-29 07:00:00,@cillabaeung3854,"Koar koar antek asing, eh tapi bayar miliaran buat gabung PBB buatan Donald Trump. Dari dulu ketujuh presiden Indonesia ga mau yang mau buka hubungan diplomatik dengan ISRAEL, sekarang tiba tiba kenapa presiden peduli keamanan Israel. Yang menjajah dan buat onar itu ISRAEL.
INI JUDULNYA ANTEK NETANYAHU ALIAS PEMUJA ISRAEL",0,UgzJBC5iTLR8DcQpK4l4AaABAg,50
2026-01-29 07:00:00,@LisannyaGaib,"Bukan milyar lagi, trilyun. 17T ilang buat bayar upeti",1,UgzJBC5iTLR8DcQpK4l4AaABAg.ASVc6lykGSgASVmH8eflAE,9
2026-01-29 07:00:00,@Naufalghifari24,Rezim yang bilang antek asing biasanya adalah rezim yang selama dia berkuasa berbuat otoriter dan korup. Narasi seperti itu adalah ilusi palsu untuk menarik simpati rakyat demi legitimasi kekuasaan yang padahal rakyat tidak m memahami substansi kebijakan apa yang dibawa oleh pemerintah,1,Ugz0-IJa8RRX1440VMd4AaABAg,42
2026-01-29 07:00:00,@triasandayani3713,Kita harus percaya adanya antek asing.siapa yg membuat kisruh negara2 di dunia ini?KLO bukan negara yg tidak ingin Indonesia maju. KLO temp bukan antek asing ya g usah bingung,0,UgwRcYXZVRGldKLlky94AaABAg,29
2026-01-29 07:00:00,@margonopurwodadi1363,Paranoid takut akan cermin sendiri,0,Ugz6Cd51oRwFkJEuvCl4AaABAg,5
2026-01-29 07:00:00,@belacan_gorng,"Wah 
Itu terjadi sih udh gak asing lah, ulang karna pemikiran rakyat sendri sih
Liat Iran  di demo besar2an kena masyarat, malah di bunuh sampe 2000an ningal, dalih pemerintah apa antek asing padahal menyelamat hegemoni nya, dan rakyat kita gak ada tu yg protes pemerintah Iran yg udh membatai rakyat nya sendri malah menyetujui narasi pemerintah Iran, dan Prabowo berkaca di situ kalau ada demo besar2an, enak dia mengangkat orng demo tu degan tuduhan antek asing",0,UgwbXObkry_jY6HApTZ4AaABAg,76
